1	1	36	2	1	2	2	7	
2	1	33	2	1	2	1	2	
3	2	53	2	-999	1	1	3	
4	1	38	3	1	1	2	4	
5	2	40	5	1	1	2	3	
6	3	-9	5	1	2	2	2	
7	1	8	5	1	2	3	9	
8	1	31	5	1	1	3	8	
9	1	29	5	1	1	1	11	
10	8	-9	5	1	1	4	3	
11	1	51	5	-999	2	3	11	
12	1	47	5	-999	2	2	9	
13	5	-9	8	1	1	3	6	
14	5	-9	7	1	1	2	6	
15	3	-9	3	1	-999	2	2	
16	5	-999	7	1	1	3	2	
17	1	41	4	1	2	2	10	
18	1	35	4	1	1	-999	2	
19	1	40	3	1	1	2	4	
20	3	37	2	1	1	2	3	
21	7	-9	-999	1	1	3	3	
22	1	31	5	1	2	3	9	
23	1	18	3	1	1	1	4	
24	5	-9	7	1	1	2	2	
25	5	-9	8	1	2	3	-999	
26	1	43	-999	1	2	1	4	
27	5	-9	6	1	2	1	8	
28	1	34	6	1	2	3	9	
29	1	22	5	1	2	2	4	
30	5	-9	8	-999	2	3	11	
31	1	59	4	1	1	3	2	
32	2	2	4	1	1	2	3	
33	1	33	2	1	1	1	8	
34	5	-9	6	1	2	1	9	
35	8	-999	5	1	2	3	11	
36	3	-9	3	1	1	1	4	
37	9	-9	-999	1	1	1	9	
38	1	46	-999	1	2	2	9	
39	1	59	4	1	1	2	9	
40	5	-9	7	1	2	3	9	
41	5	-9	8	1	2	3	-9	
42	4	13	2	0	2	1	12	
43	1	56	4	1	1	1	2	
44	1	19	5	1	2	2	4	
45	5	-9	7	1	1	3	4	
46	1	34	2	1	1	1	4	
47	1	44	3	1	-999	1	2	
48	1	47	2	1	1	1	2	
49	1	17	4	1	2	1	11	
50	1	33	3	1	1	1	4	
51	5	-9	7	1	1	-999	2	
52	3	-9	3	1	1	2	-9	
53	1	40	4	1	2	2	2	
54	7	-9	4	1	2	1	8	
55	4	2	2	0	2	1	4	
56	3	-9	5	1	1	2	10	
57	1	-9	6	1	2	2	9	
58	3	-9	5	1	2	1	2	
59	8	-9	4	1	1	3	5	
60	5	-9	7	1	1	2	2	
61	1	38	3	1	1	1	3	
62	6	-9	2	1	2	1	-9	
63	1	40	6	1	2	2	11	
64	4	9	2	0	-999	1	5	
65	1	-999	8	1	1	3	2	
66	5	-9	7	1	1	3	9	
67	8	-999	3	1	2	3	-9	
68	3	-9	5	1	1	1	-9	
69	1	47	3	1	1	1	9	
70	8	-9	5	1	1	4	12	
71	5	-999	7	1	2	2	5	
72	1	45	3	1	1	2	4	
73	5	-9	8	1	2	3	-9	
74	1	36	4	1	1	1	6	
75	3	-9	-999	1	2	2	4	
76	5	-9	8	1	1	3	6	
77	1	46	4	1	1	1	4	
78	1	44	3	1	1	2	2	
79	1	46	2	1	1	2	4	
80	2	35	5	1	1	2	3	
81	4	33	5	0	2	2	10	
82	5	-9	7	1	2	2	4	
83	5	-9	6	1	2	1	10	
84	5	-9	8	1	1	3	2	
85	6	-9	2	0	1	2	-9	
86	5	-9	6	1	-999	2	8	
87	1	34	5	-999	2	2	4	
88	1	34	3	1	2	1	9	
89	8	-9	4	1	1	4	-9	
90	3	-9	4	1	1	2	3	
91	1	10	6	1	2	1	4	
92	8	-9	3	1	1	4	3	
93	1	33	4	1	1	4	4	
94	3	-9	2	1	1	2	8	
95	9	35	6	1	1	1	9	
96	1	38	3	1	1	2	8	
97	3	31	5	1	2	2	10	
98	5	-9	7	1	2	3	-9	
99	2	44	4	1	1	2	10	
100	5	-9	7	1	-999	2	2	
101	1	20	5	1	2	2	4	
102	7	-9	6	1	2	-999	11	
103	1	19	6	1	1	3	6	
104	4	-9	2	0	1	1	-9	
105	1	47	5	1	2	2	-999	
106	8	-9	6	1	2	3	8	
107	3	-9	2	1	1	1	-9	
108	5	-9	6	1	2	5	4	
109	1	39	6	1	1	2	3	
110	3	-9	3	1	1	1	2	
111	1	35	3	1	1	1	2	
112	8	-9	7	1	2	4	-9	
113	1	8	5	1	2	1	11	
114	1	22	4	1	2	2	8	
115	5	-9	7	1	1	1	3	
116	3	-9	5	1	1	1	3	
117	1	20	6	1	2	2	10	
118	1	28	6	1	2	-999	5	
119	1	50	6	-999	1	1	8	
120	1	36	4	1	2	2	11	
121	2	50	4	1	1	1	2	
122	1	19	3	1	2	1	2	
123	1	16	3	1	2	2	-999	
