1	36	2	7	7	1	
2	33	2	2	7	1	
3	53	4	-999	8	1	
4	38	4	4	7	1	
5	40	1	3	1	1	
6	8	4	9	9	1	
7	31	3	8	5	1	
8	29	2	11	4	1	
9	51	2	11	6	1	
10	47	2	9	3	1	
11	41	3	-999	5	1	
12	35	1	2	2	1	
13	40	3	4	5	1	
14	37	3	3	5	1	
15	44	2	9	4	1	
16	18	4	4	9	1	
17	43	2	4	3	1	
18	34	1	9	2	1	
19	22	4	4	7	1	
20	59	4	2	-999	1	
21	2	2	3	3	1	
22	33	4	8	9	1	
23	46	2	9	3	1	
24	59	-999	9	3	1	
25	13	2	12	6	0	
26	56	1	2	1	1	
27	19	4	4	7	1	
28	34	4	4	9	1	
29	44	1	2	2	1	
30	47	3	2	5	1	
31	17	1	11	2	1	
32	33	2	4	1	1	
33	40	-999	2	7	1	
34	2	2	4	4	0	
35	38	3	3	8	1	
36	40	2	11	4	1	
37	9	2	5	9	0	
38	46	2	2	4	1	
39	47	1	9	3	1	
40	45	1	4	1	1	
41	36	1	6	1	1	
42	46	4	4	8	1	
43	44	-999	2	8	1	
44	46	4	4	7	1	
45	35	3	3	5	1	
46	33	2	10	3	0	
47	34	4	4	7	1	
48	34	2	9	3	1	
49	10	2	4	4	1	
50	33	3	4	5	1	
51	35	1	9	-999	1	
52	38	2	8	3	1	
53	31	3	10	6	1	
54	44	1	10	2	-999	
55	20	4	4	7	1	
56	53	4	6	8	1	
57	47	4	11	6	1	
58	39	3	3	5	1	
59	35	3	2	8	1	
60	8	3	11	-999	1	
61	22	-999	8	4	1	
62	20	1	10	2	-999	
63	28	4	5	9	-999	
64	50	3	8	9	1	
65	28	4	11	6	1	
66	50	-999	2	1	1	
67	19	2	2	4	1	
68	16	4	4	7	1	
69	34	2	5	1	1	
70	40	-999	8	2	1	
71	41	2	11	2	1	
72	38	3	3	5	1	
73	59	1	11	2	1	
74	39	2	8	3	1	
75	53	2	2	3	1	
76	34	4	1	9	1	
77	39	4	4	-999	1	
78	18	2	11	2	1	
79	11	4	12	-999	1	
80	34	2	8	7	1	
81	59	2	9	3	1	
82	44	2	7	4	1	
83	37	4	6	9	1	
84	47	2	-999	7	1	
85	34	2	8	2	1	
86	6	1	10	2	1	
87	49	2	-999	1	1	
88	43	2	4	1	1	
89	36	1	11	2	-999	
90	35	4	6	7	1	
91	4	2	12	6	0	
92	40	1	6	2	1	
93	42	2	11	2	1	
94	47	2	9	4	1	
95	43	2	4	1	1	
96	28	3	11	6	1	
97	9	2	4	-999	0	
98	2	4	6	9	1	
99	34	2	-999	2	1	
100	32	3	4	7	-999	
101	43	2	11	4	1	
102	47	2	4	1	1	
103	57	3	5	5	1	
104	17	3	8	5	1	
105	26	4	-999	9	1	
106	38	1	10	2	1	
107	37	4	4	7	1	
108	6	1	10	2	1	
109	36	2	4	3	1	
110	33	3	3	5	1	
111	41	2	8	3	1	
112	31	4	4	7	1	
113	42	2	9	4	1	
114	41	2	8	3	1	
115	19	2	11	7	1	
116	21	4	11	9	1	
117	27	2	7	7	1	
118	42	1	11	2	1	
119	23	4	4	7	1	
120	39	2	10	4	1	
121	22	4	4	7	1	
122	19	3	12	6	1	
123	35	4	11	6	1	
124	41	2	2	3	1	
125	42	3	3	-999	1	
126	27	3	11	6	1	
127	43	2	10	1	-999	
128	29	2	-999	1	1	
129	33	2	11	2	1	
130	32	1	11	2	1	
131	51	1	10	2	1	
132	44	4	11	-999	1	
133	46	2	6	7	1	
134	42	3	3	5	1	
135	44	2	9	4	1	
136	2	1	9	2	1	
137	36	3	4	5	-999	
138	55	2	4	7	1	
139	24	3	12	6	1	
140	49	1	11	2	1	
141	34	2	4	4	1	
142	47	4	10	8	-999	
143	19	2	10	4	1	
144	41	2	6	4	1	
145	32	2	2	3	1	
146	18	4	4	7	1	
147	2	4	6	9	1	
148	34	3	4	7	1	
149	25	3	5	6	1	
150	36	2	11	4	1	
151	33	2	11	4	1	
152	31	1	10	1	1	
153	25	4	8	9	1	
154	35	4	11	6	1	
155	20	4	5	5	1	
156	22	4	4	7	1	
157	17	2	8	4	1	
158	47	2	4	1	1	
159	46	-999	9	6	1	
160	25	2	-999	1	1	
161	23	3	4	5	1	
162	18	3	4	5	1	
163	37	3	3	5	1	
164	40	2	11	2	1	
165	47	2	9	4	1	
166	31	1	11	1	1	
167	46	3	12	6	1	
168	43	-999	11	6	1	
169	36	4	11	6	1	
170	47	4	5	9	1	
171	44	3	8	5	1	
172	26	-999	7	4	1	
173	39	3	3	5	1	
174	40	3	6	5	1	
175	35	4	8	9	1	
176	7	2	9	4	1	
177	34	3	8	9	1	
178	28	4	11	6	1	
179	37	1	10	2	1	
180	7	2	12	4	0	
181	25	2	12	1	1	
182	33	1	10	2	1	
183	35	3	2	5	1	
184	42	4	2	8	1	
185	40	2	12	-999	1	
186	6	4	4	9	1	
187	37	3	2	5	-999	
188	59	3	3	5	1	
189	11	1	3	2	1	
190	17	2	9	4	1	
191	45	1	11	-999	1	
192	22	2	11	4	1	
193	38	1	10	2	1	
194	46	2	10	4	1	
195	19	3	10	6	1	
196	25	4	11	9	1	
197	44	3	4	6	1	
198	28	2	7	-999	1	
199	39	2	8	1	1	
200	39	3	4	5	1	
201	22	4	5	9	1	
202	22	4	4	7	1	
203	41	2	6	3	1	
204	37	4	6	8	1	
205	56	2	11	2	1	
206	47	1	11	-999	1	
207	20	2	8	4	1	
208	43	-999	2	7	1	
209	24	3	11	6	1	
210	22	2	11	4	1	
211	25	3	11	6	1	
212	2	4	8	7	1	
213	35	3	3	5	1	
214	36	-999	8	4	1	
215	9	4	10	9	1	
216	31	2	8	4	1	
217	22	4	2	8	1	
218	46	3	2	8	1	
219	53	3	3	5	1	
220	39	2	2	3	1	
221	27	2	7	4	1	
222	23	2	12	4	1	
223	32	2	9	4	1	
224	45	1	11	1	1	
225	45	1	3	2	1	
226	54	3	5	5	-999	
227	42	3	2	8	1	
228	45	3	2	5	1	
229	34	1	6	1	1	
230	33	3	10	6	1	
231	31	2	6	4	1	
232	27	2	4	4	1	
233	11	2	2	4	1	
234	20	4	8	8	1	
235	41	3	3	5	1	
236	18	4	5	5	1	
237	37	4	6	8	1	
238	36	1	4	1	-999	
239	20	4	10	9	1	
240	32	1	7	3	1	
241	29	4	4	7	1	
242	41	2	4	4	1	
243	33	2	11	1	1	
244	50	4	4	9	1	
245	53	3	4	8	1	
246	32	4	2	9	1	
247	34	4	2	9	1	
248	44	3	3	5	1	
249	36	4	8	8	1	
250	6	2	10	3	1	
251	37	3	-999	5	1	
252	40	1	2	1	1	
253	33	4	11	9	1	
254	27	4	4	7	1	
255	28	4	11	6	-999	
256	39	-999	10	9	1	
257	40	2	2	4	1	
258	26	2	12	3	1	
259	45	2	9	3	1	
260	39	2	11	6	1	
261	43	2	8	3	1	
262	28	4	4	7	1	
263	45	4	3	6	1	
264	38	3	8	6	1	
265	40	2	9	3	1	
266	49	2	4	7	1	
267	41	4	6	6	1	
268	35	4	2	8	1	
269	47	3	3	5	1	
270	37	1	2	2	1	
271	31	3	11	6	1	
272	47	3	3	5	1	
273	8	2	4	7	0	
274	19	2	11	4	1	
275	32	1	6	2	1	
276	18	2	8	4	1	
277	51	3	6	8	1	
278	54	1	2	2	1	
279	37	4	2	8	1	
280	16	4	5	5	1	
281	50	4	3	8	1	
282	39	2	12	3	1	
283	55	3	3	5	1	
284	20	4	12	6	1	
285	28	4	4	7	1	
286	44	2	2	3	1	
287	40	-999	3	5	1	
288	8	2	11	6	0	
289	53	2	10	3	1	
290	53	3	8	8	1	
291	34	3	2	8	1	
292	41	4	6	8	1	
293	38	1	10	2	1	
294	44	1	10	2	1	
295	28	4	4	7	1	
296	35	3	2	5	1	
297	33	1	10	2	1	
298	46	1	11	2	1	
299	35	3	6	8	1	
300	35	3	6	7	1	
301	25	2	11	4	1	
302	49	3	6	8	1	
303	44	4	-999	8	1	
304	47	2	11	1	1	
305	34	4	4	7	1	
306	45	2	11	2	1	
307	13	2	7	9	0	
308	43	3	3	-999	1	
309	28	3	2	6	1	
310	55	3	2	5	1	
311	3	2	7	3	1	
312	31	2	9	3	1	
313	42	4	11	6	1	
314	34	2	9	4	1	
315	47	3	3	5	1	
