1	2	-9	-9	0
2	-999	-999	-999	0
3	2	-9	-9	0
4	-999	3	9	1
5	-999	-999	-999	1
6	2	4	9	0
7	-999	4	11	1
8	4	6	11	-999
9	3	8	2	0
10	4	-999	-999	1
11	-999	8	5	0
12	-999	9	5	1
13	-999	7	4	1
14	-999	2	11	0
15	-999	-999	-999	0
16	2	3	8	0
17	-999	-999	-999	0
18	3	5	2	0
19	-999	5	8	0
20	2	8	3	0
21	4	9	4	0
22	3	-999	-999	1
23	-999	5	4	0
24	1	-999	-999	1
25	-999	2	11	1
26	4	-999	-999	0
27	-999	8	6	0
28	2	4	4	1
29	-999	2	11	1
30	4	8	2	-999
31	4	-999	-999	1
32	-999	7	4	0
33	1	6	9	1
34	-999	6	11	1
35	-999	-999	-999	1
36	1	2	10	1
37	-999	-999	-999	0
38	-999	8	2	0
39	4	-999	-999	1
40	3	-999	-999	0
41	2	6	12	-999
42	-999	2	2	0
43	1	2	8	1
44	-999	5	3	0
45	4	7	4	0
46	4	9	4	0
47	2	-999	-999	1
48	4	-9	-9	0
49	-999	5	3	0
50	4	-9	-9	1
51	-999	9	8	0
52	-999	3	9	1
53	2	4	11	0
54	3	5	4	-999
55	3	8	2	0
56	-999	5	2	0
57	-999	4	6	0
58	-999	7	4	0
59	4	-999	-999	1
60	-999	-999	-999	1
61	4	-999	-999	1
62	-999	9	1	0
63	3	6	11	1
64	3	5	3	-999
65	4	9	10	0
66	3	5	3	0
67	2	4	9	1
68	-999	1	5	1
69	2	3	10	1
70	2	3	2	1
71	4	3	3	0
72	3	5	3	0
73	3	-9	-9	0
74	4	7	4	1
75	-999	7	4	1
76	3	9	8	-999
77	2	-9	-9	0
78	4	-999	-999	1
79	-999	-999	-999	1
80	-999	8	3	0
81	2	7	2	1
82	4	6	12	0
83	4	-9	-9	1
84	2	-9	-9	0
85	3	5	4	0
86	2	4	2	1
87	4	7	4	-999
88	4	9	5	0
89	4	-999	-999	1
90	-999	7	4	1
91	-999	6	11	1
92	-999	9	9	1
93	1	2	11	1
94	-999	7	4	1
95	-999	-999	-999	0
96	2	5	3	0
97	2	4	8	1
98	-999	6	10	1
99	-999	-999	-999	0
100	-999	1	2	0
101	3	9	8	-999
102	-999	3	8	0
103	-999	-999	-999	0
104	2	4	8	1
105	1	1	4	0
106	1	-999	-999	0
107	4	-999	-999	0
108	4	-999	-999	1
109	-999	-999	-999	0
110	4	-999	-999	1
111	4	-999	-999	0
112	2	-999	-999	1
113	2	-999	-999	1
114	-999	3	3	0
115	3	-999	-999	0
116	-999	2	9	1
117	4	8	2	0
118	2	9	5	1
119	-999	1	2	0
120	-999	1	4	0
121	-999	-999	-999	0
122	4	7	4	1
123	1	2	10	0
124	2	3	4	1
125	1	-999	-999	0
126	2	4	2	1
127	2	9	4	1
128	-999	8	3	0
129	-999	7	7	1
130	1	-999	-999	0
131	-999	-999	-999	1
132	2	3	8	1
133	2	3	9	1
134	1	2	2	-999
135	-999	-999	-999	0
136	2	-999	-999	1
137	-999	1	3	0
138	4	-9	-9	1
139	-999	1	6	0
140	2	3	9	0
141	-999	9	8	0
142	-999	7	4	1
143	-999	-999	-999	1
144	3	-9	-9	1
145	-999	5	2	0
146	4	9	5	1
147	3	5	6	0
148	1	-999	-999	1
149	-999	9	8	1
150	3	-999	-999	1
151	4	5	2	0
152	-999	-999	-999	1
153	2	-9	-9	0
154	-999	1	4	1
155	2	-999	-999	1
156	-999	-999	-999	0
157	-999	-999	-999	1
158	-999	7	8	0
159	-999	-999	-999	1
160	4	9	5	1
161	-999	-999	-999	1
162	-999	7	4	1
163	3	9	7	0
164	3	5	2	0
165	4	6	11	1
166	-999	-999	-999	0
167	-999	7	4	1
168	-999	-999	-999	0
169	3	5	3	0
170	4	-9	-9	1
171	-999	-999	-999	0
172	2	2	11	-999
173	2	4	10	-999
174	4	-999	-999	1
175	-999	-999	-999	0
176	2	1	8	-999
177	-999	-999	-999	1
178	2	3	4	0
179	-999	-999	-999	1
180	-999	-999	-999	1
181	4	7	4	-999
182	2	1	4	0
183	2	8	6	0
184	4	7	4	1
185	2	-999	-999	0
186	-999	-999	-999	0
187	2	3	8	1
188	2	-9	-9	1
189	1	1	9	1
190	-999	9	8	1
191	-999	4	9	1
192	-999	-999	-999	0
193	4	-999	-999	1
194	4	6	11	1
195	2	7	3	0
196	-999	-999	-999	0
197	2	-999	-999	1
198	1	1	7	1
199	-999	-999	-999	1
200	2	-999	-999	0
201	3	-999	-999	1
202	2	1	4	0
203	1	2	10	1
204	-999	8	10	0
205	2	-9	-9	0
206	-999	-999	-999	1
207	4	-999	-999	1
208	-999	9	8	0
209	4	-999	-999	1
210	-999	-9	-9	1
211	4	9	11	1
212	4	6	6	1
213	-999	-999	-999	0
214	2	3	9	0
215	4	-999	-999	0
216	-999	-999	-999	1
217	4	9	6	0
218	2	-9	-9	0
219	3	5	12	0
220	2	4	7	1
221	-999	2	10	1
222	2	9	5	0
223	2	-9	-9	-999
224	-999	7	4	1
225	2	3	12	1
226	2	-9	-9	1
227	2	-999	-999	1
228	2	4	12	-999
229	3	6	11	1
230	-999	-9	-9	1
231	2	-9	-9	1
232	-999	5	3	0
233	3	9	5	1
234	4	7	4	1
235	4	8	8	0
236	-999	-999	-999	0
237	-999	5	3	0
238	2	7	4	1
239	4	-999	-999	1
240	1	2	10	1
241	2	4	9	0
242	3	-9	-9	0
243	1	2	11	-999
244	2	1	10	1
245	-999	9	5	1
246	4	-9	-9	1
247	-999	-999	-999	1
248	4	-999	-999	1
249	2	7	7	0
250	-999	-999	-999	1
251	3	5	8	0
252	-999	-999	-999	1
253	2	-999	-999	0
254	-999	-999	-999	1
255	1	2	10	0
256	1	-999	-999	0
257	3	6	12	1
258	3	5	2	0
259	1	-999	-999	0
260	2	-999	-999	1
261	2	1	11	1
262	-999	5	4	0
263	-999	6	11	1
264	2	-9	-9	0
265	1	6	11	1
266	-999	-999	-999	1
267	4	9	5	0
268	3	5	3	0
269	3	7	2	1
270	2	-999	-999	1
