1	2	-9	-9	-9	0	6	
2	4	-999	-999	-9	1	8	
3	2	-9	-9	-9	0	4	
4	2	3	9	45	1	1	
5	4	-999	-999	26	1	1	
6	2	4	9	-9	1	9	
7	2	4	11	45	1	1	
8	4	6	11	-999	-999	-999	
9	3	8	2	-9	1	3	
10	4	-999	-999	-9	1	5	
11	2	8	5	-9	0	6	
12	4	9	5	-9	1	5	
13	4	7	4	19	1	1	
14	1	2	11	51	1	1	
15	3	-999	-999	39	1	1	
16	2	3	8	35	1	1	
17	2	-999	-999	47	1	1	
18	3	5	2	-9	1	5	
19	2	5	8	36	1	1	
20	2	8	3	-999	-999	-999	
21	4	9	4	24	1	1	
22	3	-999	-999	37	1	1	
23	1	5	4	33	1	1	
24	1	-999	-999	-9	1	7	
25	4	2	11	24	1	1	
26	4	-999	-999	-9	1	3	
27	4	8	6	19	1	1	
28	2	4	4	-999	-999	-999	
29	4	2	11	41	1	1	
30	4	8	2	-9	1	3	
31	4	-999	-999	-9	1	8	
32	4	7	4	-9	1	3	
33	1	6	9	-9	1	5	
34	3	6	11	51	1	1	
35	3	-999	-999	3	1	1	
36	1	2	10	17	1	1	
37	2	-999	-999	44	1	1	
38	1	8	2	40	1	1	
39	4	-999	-999	-9	1	7	
40	3	-999	-999	-9	1	5	
41	2	6	12	-999	-999	-999	
42	1	2	2	47	1	1	
43	1	2	8	46	1	1	
44	1	5	3	32	1	2	
45	4	7	4	-999	-999	-999	
46	4	9	4	33	1	1	
47	2	-999	-999	-9	1	6	
48	4	-9	-9	-9	1	8	
49	4	5	3	39	1	1	
50	4	-9	-9	-9	1	9	
51	3	9	8	43	1	1	
52	4	3	9	43	1	1	
53	2	4	11	21	1	1	
54	3	5	4	-999	-999	-999	
55	3	8	2	-999	-999	-999	
56	1	5	2	-9	1	3	
57	1	4	6	-9	1	5	
58	4	7	4	46	1	1	
59	4	-999	-999	-9	1	5	
60	1	-999	-999	-9	1	5	
61	4	-999	-999	-9	1	5	
62	2	9	1	39	1	1	
63	3	6	11	6	1	1	
64	3	5	3	-999	-999	-999	
65	4	9	10	-999	-999	-999	
66	3	5	3	-999	-999	-999	
67	2	4	9	-999	-999	-999	
68	2	1	5	36	1	1	
69	2	3	10	-999	-999	-999	
70	2	3	2	-999	-999	-999	
71	4	3	3	-999	-999	-999	
72	3	5	3	-9	1	8	
73	3	-9	-9	-9	1	3	
74	4	7	4	33	1	1	
75	4	7	4	32	1	1	
76	3	9	8	-9	1	5	
77	2	-9	-9	-9	0	6	
78	4	-999	-999	-9	1	5	
79	4	-999	-999	10	1	1	
80	2	8	3	53	1	2	
81	2	7	2	-999	-999	-999	
82	4	6	12	-999	-999	-999	
83	4	-9	-9	-9	1	8	
84	2	-9	-9	-9	1	6	
85	3	5	4	-9	1	5	
86	2	4	2	-9	1	3	
87	4	7	4	23	1	1	
88	4	9	5	-9	1	8	
89	4	-999	-999	-9	1	5	
90	3	7	4	23	1	1	
91	4	6	11	47	1	1	
92	1	9	9	-9	1	5	
93	1	2	11	16	1	1	
94	4	7	4	28	1	1	
95	4	-999	-999	-9	1	5	
96	2	5	3	-9	1	3	
97	2	4	8	24	1	1	
98	2	6	10	46	1	1	
99	2	-999	-999	42	1	1	
100	1	1	2	50	1	2	
101	3	9	8	-9	1	3	
102	1	3	8	39	1	1	
103	4	-999	-999	-9	1	5	
104	2	4	8	-999	-999	-999	
105	1	1	4	47	1	1	
106	1	-999	-999	43	1	1	
107	4	-999	-999	-9	1	3	
108	4	-999	-999	-9	1	5	
109	3	-999	-999	44	1	1	
110	4	-999	-999	-9	1	7	
111	4	-999	-999	-9	1	3	
112	2	-999	-999	-9	1	5	
113	2	-999	-999	36	1	1	
114	2	3	3	13	1	2	
115	3	-999	-999	-9	1	5	
116	2	2	9	31	1	1	
117	4	8	2	52	1	1	
118	2	9	5	12	0	4	
119	3	1	2	56	1	1	
120	2	1	4	34	1	1	
121	1	-999	-999	-9	1	5	
122	4	7	4	-9	1	5	
123	1	2	10	45	1	2	
124	2	3	4	42	1	1	
125	1	-999	-999	-9	1	5	
126	2	4	2	29	1	1	
127	2	9	4	-9	1	3	
128	2	8	3	38	1	1	
129	2	7	7	39	1	1	
130	1	-999	-999	-9	1	5	
131	4	-999	-999	-9	1	5	
132	2	3	8	-9	1	5	
133	2	3	9	46	1	1	
134	1	2	2	31	1	1	
135	4	-999	-999	40	1	1	
136	2	-999	-999	-9	1	5	
137	3	1	3	41	1	2	
138	4	-9	-9	-9	1	8	
139	1	1	6	46	1	1	
140	2	3	9	58	1	1	
141	3	9	8	57	1	1	
142	1	7	4	29	1	1	
143	2	-999	-999	47	1	1	
144	3	-9	-9	-9	1	7	
145	3	5	2	36	1	1	
146	4	9	5	-9	1	7	
147	3	5	6	35	1	1	
148	1	-999	-999	8	1	1	
149	2	9	8	-9	1	7	
150	3	-999	-999	-9	1	7	
151	4	5	2	-9	1	8	
152	4	-999	-999	2	1	1	
153	2	-9	-9	-999	-999	-999	
154	2	1	4	38	1	1	
155	2	-999	-999	-9	1	7	
156	4	-999	-999	49	1	1	
157	4	-999	-999	44	1	1	
158	3	7	8	55	1	1	
159	2	-999	-999	-9	0	6	
160	4	9	5	-9	1	3	
161	4	-999	-999	35	1	1	
162	4	7	4	20	1	1	
163	3	9	7	-9	1	5	
164	3	5	2	-999	-999	-999	
165	4	6	11	-999	-999	-999	
166	2	-999	-999	33	1	1	
167	3	7	4	-9	1	5	
168	2	-999	-999	-9	1	5	
169	3	5	3	39	1	2	
170	4	-9	-9	-999	-999	-999	
171	2	-999	-999	42	1	1	
172	2	2	11	32	1	1	
173	2	4	10	-999	-999	-999	
174	4	-999	-999	42	1	1	
175	3	-999	-999	-9	1	9	
176	2	1	8	-999	-999	-999	
177	4	-999	-999	-9	1	5	
178	2	3	4	-999	-999	-999	
179	2	-999	-999	25	1	1	
180	2	-999	-999	-9	1	5	
181	4	7	4	-999	-999	-999	
182	2	1	4	36	1	1	
183	2	8	6	-9	1	5	
184	4	7	4	31	1	1	
185	2	-999	-999	-9	1	5	
186	2	-999	-999	41	1	1	
187	2	3	8	-999	-999	-999	
188	2	-9	-9	-9	0	6	
189	1	1	9	-9	1	5	
190	1	9	8	40	1	1	
191	4	4	9	33	1	1	
192	4	-999	-999	31	1	1	
193	4	-999	-999	-9	1	8	
194	4	6	11	-999	-999	-999	
195	2	7	3	-9	1	3	
196	3	-999	-999	18	1	1	
197	2	-999	-999	-9	1	5	
198	1	1	7	-9	1	7	
199	2	-999	-999	17	1	1	
200	2	-999	-999	-9	1	3	
201	3	-999	-999	25	1	1	
202	2	1	4	-9	1	5	
203	1	2	10	-999	-999	-999	
204	2	8	10	39	1	1	
205	2	-9	-9	-9	0	6	
206	1	-999	-999	40	1	1	
207	4	-999	-999	-9	1	5	
208	3	9	8	-9	1	3	
209	4	-999	-999	-9	1	5	
210	4	-9	-9	-9	1	9	
211	4	9	11	-9	1	5	
212	4	6	6	-9	1	9	
213	4	-999	-999	35	1	1	
214	2	3	9	-9	1	3	
215	4	-999	-999	-9	1	3	
216	4	-999	-999	-9	1	5	
217	4	9	6	35	1	1	
218	2	-9	-9	-9	0	6	
219	3	5	12	-999	-999	-999	
220	2	4	7	37	1	1	
